pair_ID,sentence_A,sentence_B,similarity
30,A man with a jersey is dunking the ball at a basketball game,The ball is being dunked by a man with a jersey at a basketball game,1.0
44,Two young women are sparring in a kickboxing fight,Two women are sparring in a kickboxing match,1.0
140,The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft,1.0
491,The black and white dog is running and a person stands behind it,"The dog, which is black and white, is running and a person stands behind it",1.0
541,The man in a grey t-shirt is sitting on a rock in front of the waterfall,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,1.0
557,A dark black dog and a light brown dog are playing in the yard in the back,A dark black dog and a light brown dog are playing in the backyard,1.0
676,"A dog, which is black, and a white one are staring at each other in the street","A dog, which is black, and another one, which is white, are staring at each other in the street",1.0
729,The man with the dyed purple hat is operating a camera that makes videos,The man in the purple hat is operating a camera that makes videos,1.0
867,The ice skating rink placed outdoors is full of people,An ice skating rink placed outdoors is full of people,1.0
880,The girl in the blue and white uniform is cheering,Some cheers are being performed by the girl in the blue and white uniform,1.0
950,Two young kids are eating corndogs,Two young children are eating corndogs,1.0
973,A horse is tossing the cowboy wearing pants of blue and red color,The cowboy in blue and red pants is being tossed by a horse,1.0
1045,"A dog is near a ball colored in red, which is in the air",A dog is near the red ball in the air,1.0
1095,A man is opening a small package that contains headphones,A man is opening a package that contains headphones,1.0
1109,A man is singing and playing the guitar,A man is singing a song and playing the guitar,1.0
1147,A woman is dipping a shrimp in batter,A man is driving a car,0.0
1180,A woman is boiling shrimps,There is no woman combing her hair,0.0
1242,A woman is removing the peel of a potato,A woman is peeling a potato,1.0
1268,A band is performing on a stage,A band is playing onstage,1.0
1317,A person is performing a card trick,A man is frying a tortilla,0.0
1427,A woman is chopping an onion,A woman is washing her feet,0.0
1463,A man is exercising,A happy baby is laughing,0.0
1464,A baby is crying,A man is exercising,0.0
1466,Three men are jumping off a tall wall,Three men are jumping off a wall,1.0
1484,The oil is being stirred by a man,The man is stirring oil,1.0
1501,A man is playing a guitar,A man is playing guitar,1.0
1534,There is no woman cutting an onion,A horse is standing,0.0
1535,A white horse is standing,A woman is cutting an onion,0.0
1536,A horse is running,A woman is cutting an onion,0.0
1558,A man is picking up a tree,A tree is being picked up by a man,1.0
1618,A guy is cheerfully playing with the footbag,A guy is cheerfully playing with a footbag,1.0
1643,One young lady is jumping on the car,One girl is jumping on the car,1.0
1670,A boat is sailing peacefully over the water,The guitar is being played by a man,0.0
1671,The guitar is being played by nobody,A boat is sailing peacefully over the water,0.0
1673,A boat is sailing quietly over the water,The guitar is being played by the man,0.0
1675,A boat's sail is being reflected by the peaceful water,The guitar is being played by the man,0.0
1712,A man is slicing an onion,An onion is being sliced by a man,1.0
1715,An onion is being cut by a man,The onion is being cut by the man,1.0
1733,A man is recklessly riding a horse,The elephant is being ridden by the woman,0.0
1741,The piano is being played by someone,Nobody is feeding an animal,0.0
1789,A lion is pacing tiredly in a pen,The lion is pacing tiredly in the pen,1.0
1829,Some tofu is being sliced by one woman,Tofu is being sliced by a woman,1.0
1844,"The girl, who is little, is combing her hair into a pony tail.",One man is sitting steadily on the chair,0.0
1846,"The girl, who is little, is carefully combing her hair into a pony tail",One man is sitting on the chair,0.0
1888,A man is passionately playing a guitar,One man is passionately playing the guitar,1.0
1904,A few animals are playing in the water,Nobody is playing ping pong,0.0
1907,Two people are playing ping pong,A few animals are out of the water,0.0
1908,Two people are playing ping pong,A few animals are playing in the water,0.0
1934,The woman is pouring oil into a skillet,A chimp is angrily kicking a target,0.0
1935,The baby is being put into a trash can by a woman,A woman is putting the baby into a trash can,1.0
1939,The baby is being put into a trash can by a woman,A person is putting meat into a skillet carelessly,0.0
1940,A person is taking away the meat in the skillet,The baby is being put into a trash can by a woman,0.0
1942,A person is putting meat into a skillet,There is no baby being put into a trash can by a woman,0.0
1943,The baby is being put into a trash can by a woman,A person is putting meat into a skillet,0.0
1961,A woman is putting on makeup carefully,The band isn't singing,0.0
1963,A woman is putting on makeup carefully,The band is singing ,0.0
1984,A truck is quickly going down a hill,Some water is being casually drunk by a cat,0.0
1987,Some water is being drunk by a cat,A truck is quickly going down a hill,0.0
2049,A cat is playing with a device,The boy is enthusiastically playing in the mud,0.0
2098,The man is denying an interview,A white car is being driven by the man,0.0
2109,A rope is being climbed by a man,A man is eating a carrot sliced by a machine,0.0
2184,People are playing cricket,Some people are playing cricket,1.0
2235,A dog is pushing a toddler into a rain puddle,A dog is pushing a toddler into a puddle of rain,1.0
2282,A cat is playing with a watermelon,One cat is playing with a watermelon,1.0
2309,Someone is banging the lens of a camera against a nail,Someone is banging a camera lens against a nail,1.0
2368,A man is playing the guitar,One man is playing the guitar,1.0
2415,Some runners are competing in a race,Runners are competing in a race,1.0
2555,A man is playing the guitar,A man is playing a guitar,1.0
2622,A man is wearing a hard hat and dancing,A man is wearing a hat which is hard and is dancing,1.0
2625,A man with a hard hat is dancing,The man with a hard hat is dancing,1.0
2664,Some ferrets are climbing down from a shelf,Ferrets are climbing down from a shelf,1.0
2684,A person is cutting a capsicum into pieces,A capsicum is being cut into pieces by a person,1.0
2807,The plane is landing,A plane is landing,1.0
2827,The girl is using an eye pencil on her eyelid,The girl is using a pencil for the eyes on her eyelid,1.0
2883,The woman is playing the flute,The flute is being played by the woman,1.0
2890,The man is lifting barbells,A man is lifting barbells,1.0
2908,A girl is applying makeup to her face,The girl is applying makeup to her face,1.0
2926,A woman is slicing an onion,An onion is being sliced by a woman,1.0
2937,Two men are fighting in a cow pasture,Two men are fighting in a pasture for cows,1.0
2964,A big green ball is knocking a potato,"A ball, which is green and big, is knocking a potato",1.0
3073,A person is combing the fur of a cat,The fur of a cat is being combed by a person,1.0
3129,A baby is sneezing and scaring another baby,A baby is sneezing and frightening another baby,1.0
3156,A man is cutting a box,A box is being cut by a man,1.0
3187,A woman is slicing a carrot,A woman is cutting a carrot,1.0
3203,A lemon is being squeezed by a woman,A woman is squeezing a lemon,1.0
3223,A man is walking slowly across a rope bridge,A man is walking slowly across a bridge made of rope,1.0
3248,A woman is boiling eggs,Eggs are being boiled by a woman,1.0
3357,A woman is peeling a potato,A potato is being peeled by a woman,1.0
