	id	sentence1	sentence2	similarity
201	9ee4d44188c33f4e7d899e690	Someone is slicing tortila's.	Someone is riding a horse.	0.0
7936	f4c5e3b0acd70cbfa99b58ac2	No it does not affect your ratings.	No it is not.	0.0
1388	9753582bf8f5894a65f74ab24	A young girl wearing a bike helmet with a bicycle in the background.	A women holds a small dog on a leash with chairs in the background.	0.0
467	fa8a49a239d979dc97018eced	A cat is drinking some water.	A truck is going down a hill.	0.0
416	3f33ec9a088d92efb5dfbddf2	A person is peeling a potato.	A cat is licking a small bottle.	0.0
8105	ac9673ac6be08f5567b78d6f7	Microwave would be your best bet.	Your best bet is research.	0.0
5723	eadf9cb8eaae282352e0fc72f	China's generous 1MDB bid seen reaping it big returns in Malaysia	China keeps an eye on visiting tiger freed by Russian President	0.0
1902	ec99ce79336e385dcc7580176	A woman holding a newspaper.	A man rollerblading on a metal bar.	0.0
702	718ae9559fcefb054890c3458	A man is playing a flute.	A woman is applying eye liner.	0.0
4472	c1e86791e91d4d540671e607d	Boy Scouts delay decision on admitting gays	Boy Scouts of America delays vote on lifting ban on gays	1.0
5643	c7dfa36710361010c9ae88c38	Malaysia Airlines plane crashes on Ukraine-Russia border - live	US: Russia Massing Troops on Ukraine Border	0.0
5987	a0ddb1cf663a4d308f31d83a0	A man plays the guitar and sings.	A man is singing and playing a guitar.	1.0
5814	93db548149540ce947e38d8ad	A man is making a bed.	A woman is playing a guitar.	0.0
2385	e8cbf945733a394ac6ce5dbb4	I hope everything is OK!	I hope everything is okay.	1.0
3548	e687db7cd4dd81897ca192555	syria denies having an undeclared nuclear program. 	syria denies the existence of an undeclared nuclear program.	1.0
3813	4c2b3928824ad9c818c3d21f0	Rimsha Masih released on bail	Mandela released from hospital	0.0
542	55d812d1b63222879a2022c48	A man dives into a pool.	A man is diving into a pool.	1.0
5749	781d9ddccc8e4b846c5243335	A man with a hard hat is dancing.	A man wearing a hard hat is dancing.	1.0
7880	14dae3d300d8b5dc7180db457	You do not need to worry.	You don't have to worry.	1.0
6584	db2eddf490ac3fd88934e0b56	Cover the entrance to the doorway with a old carpet and use a staple guns to secure it.	I started to dig into this because you caught my curiosity itch with the question...	0.0
5642	40ed030173da28dcf04120224	Murray ends 77-year wait for British win	Murray wins Wimbledon title ends Britains 77year agony	1.0
2805	dbc5250605fa85a5a1d060328	Druce will face murder charges, Conte said.	Conte said Druce will be charged with murder.	1.0
5716	08c69cae6df3eb63b3f90e5d0	Li Na to announce retirement	US Senator Ted Cruz to announce presidential bid	0.0
1181	18da69454e4fb142ab8fef629	A man sitting on the grass looking toward the sky.	The man is standing on the sidewalk in front of the horse.	0.0
2226	45c08fd9b7a76292ac359e508	"""Would you like to pay for others health care?"""	"""Would you like to wear your seatbelt?"""	0.0
7588	27bbe7cd5a90260f99dfdf05c	A woman stands in front of a building in the snow.	Two women and a baby pose in front of a dining room.	0.0
3902	38dbaf32f015912fa34569fe7	Mali future interim president readies to take office	Pope rips into dissident priests on celibacy	0.0
469	1dbccd8139e3561f2c8e6b81b	The man sat in his chair and stared.	The little girl is putting her hair into a pony tail.	0.0
5508	2a0db8950fc6c9dba0f3042da	AstraZeneca pays $4.1bn to buy Bristol-Myers Squibb out of diabetes alliance	AstraZeneca to buy Bristol out of diabetes venture for up to $4.1 billion	1.0
3726	df111db3af805ffc00d6e4472	the book states that the drug conveys a completely positive image. 	the official stated that this was a complete technology transfer.	0.0
6546	25b4eb88b90130e44f12ede84	Different parts of California have different wildlife, so you should probably narrow the region.	You can get a rough estimate from using an online calorie estimation website.	0.0
8116	000e25cb3c0db66c9204ffbd8	Yes, you should make a résumé.	Yes, you should talk to your professor.	0.0
4148	aaa90a90c58345ccbe85d3490	Brazil's 'pop-star priest' gets mammoth new stage	Brazil's 'Pop-Star Priest' Gets Mammoth New Stage	1.0
1382	54cb8a41b18071df6fb12322f	A wooden bicycle with an awning.	A group of elderly people sitting around a dining table.	0.0
2575	229f9d83841a747001d84b298	Sendmail said the system can even be set up to permit business-only usage.	The product can be instructed to permit business-only use, according to Sendmail.	1.0
864	dd6edbe087af1061e93cdbaa4	A man is playing guitar.	Smeone is laying down.	0.0
6214	58fb44462e1db23cd2486fdcb	A man wearing US flag boxer shorts is standing on a stairway.	A woman wearing a white shirt stands on the street.	0.0
5412	f9711858b6f62cabc579e5515	Pro-Russia rebels to hold vote in Ukraine	Syria rebels: We killed Hezbollah men in Lebanon	0.0
